conductor,eddyLosses_W,coreLosses_VA,current_A,GroupCount_rmsResults,iSecAbs_A_RMS,GroupCount_tempTable,bAvgMagnitude_T_RMS,GroupCount_rmsResults_1,hAvgMagnitude_A_m_RMS,GroupCount_tempTable_1,storedEnergy_J_RMS
L2,21616.3657500802,-135020.313240047+446.001536804403i,4800,1,2.49263685687865e+15,1,1.00892820890378e+16,1,0.0813889855829552,1,22.393384508686
L2,21616.3657500802,-140377.682837679+462.605616261633i,4900,2,2.54455286558624e+15,2,1.05139327898396e+16,2,0.0596628740642359,2,22.393384508686
L2,21616.3657500802,-140701.578655482+459.659633179516i,4900,1,2.54452047397178e+15,1,1.05136651114144e+16,1,0.00356535509753108,1,22.393384508686
L2,21616.3657500802,-146163.156430946+484.091596969158i,5000,2,2.59646837533339e+15,2,1.0947332644065e+16,2,0.0422863112044123,2,22.393384508686
L2,21616.3657500802,-146503.891793963+480.706213473391i,5000,1,2.59645938374079e+15,1,1.09472568228833e+16,1,0.0458060482656161,1,22.393384508686
L2,21616.3657500802,-237033.704596086+777.161434903272i,4500,1,3.3047947019253e+15,1,1.77350007648456e+16,1,0.00420200727309027,1,22.393384508686
L2,21616.3657500802,-237342.341557764+775.864265510168i,4500,1,3.30474643790923e+15,1,1.77344827563756e+16,1,0.0320206179813279,1,22.393384508686
L2,21616.3657500802,-247674.870385743+815.191443275785i,4600,1,3.37821002921531e+15,1,1.85317116446981e+16,1,0.0605257014900482,1,22.393384508686
L2,21616.3657500802,-248010.055191657+808.828161100872i,4600,1,3.37820296869357e+15,1,1.85316341815749e+16,1,0.00234504077103927,1,22.393384508686
L2,21616.3657500802,-258568.404183693+849.650628242655i,4700,1,3.45167289226325e+15,1,1.93464597309617e+16,1,0.0187859001170574,1,22.393384508686
L2,21616.3657500802,-258911.096926022+849.526990058406i,4700,1,3.45166104852099e+15,1,1.93463269641384e+16,1,0.0146645047038925,1,22.393384508686
L2,21616.3657500802,-269679.930110948+890.111642699083i,4800,1,3.52507390863712e+15,1,2.01780267868914e+16,1,0.134717229958433,1,22.393384508686
L2,21616.3657500802,-270055.696277164+891.326670365996i,4800,1,3.52512721077021e+15,1,2.01786370095407e+16,1,0.0122399513407325,1,22.393384508686
L2,21616.3657500802,-281037.022364584+930.122597714107i,4900,1,3.59854223984724e+15,1,2.10278780515226e+16,1,0.17101530166754,1,22.393384508686
