phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag,current_A
165,L1,-4539.85138355862,4.71745160929298e+15,4.71745160877336e+15,-70018124333.1129,3.61187531577928e+16,0.142126761431219,21616.3657500801,17053159.5294329-355905.346100333i,5426.48482202869,0,0,4700
165,L2,3323.40187157677,3.45167289226325e+15,-3.45167289210811e+15,32725784647.981,1.93464597309617e+16,-0.0187859001170574,21616.3657500802,-258568.404183693+849.650628242655i,22.393384508686,0,0,4700
165,L3,1216.44951198185,1.26433025627055e+15,-1.26433025621977e+15,-11331356019.3629,2.59382879854479e+15,0.000926443573040116,21616.3657500801,1433872.78794275+7826.77611237765i,5426.48482202869,0,0,4700
180,L1,-4700,4.8838597554807e+15,4.88385975543996e+15,-19949946804.2848,3.87118749228081e+16,0.0661070687499168,21616.3657500801,18277526.1320527-381048.612946304i,5426.48482202869,0,0,4700
180,L2,2350,2.44066961535415e+15,-2.44066961482319e+15,50909569468.5826,9.67297864777869e+15,-0.0140586603724178,21616.3657500802,-129149.431558804+426.730547055707i,22.393384508686,0,0,4700
180,L3,2350,2.44252051328445e+15,-2.44252051325853e+15,-11252297939.2245,9.68047614844478e+15,0.00404143469402377,21616.3657500801,5352921.11976355+29170.5884656012i,5426.48482202869,0,0,4700
0,L1,4800,4.98781404918374e+15,-4.98781404917521e+15,-9223976388.63866,4.03773995764269e+16,0.00360438798372952,21616.3657500801,19063775.2902022-397243.132261653i,5426.48482202869,0,0,4800
0,L2,-2400,2.49263637422656e+15,2.49263637398017e+15,-35047136127.3868,1.00892781817227e+16,0.0527545604618804,21616.3657500802,-134709.230347745+443.597722501822i,22.393384508686,0,0,4800
0,L3,-2400,2.49445461603776e+15,2.49445461601572e+15,10484319046.0992,1.00965149646514e+16,-0.00844989983510648,21616.3657500801,5582960.47473523+30400.0788890911i,5426.48482202869,0,0,4800
15,L1,4636.44396618753,4.81786962928246e+15,-4.81786962890492e+15,-60314056191.181,3.76728017850635e+16,-0.0236187208962351,21616.3657500801,17786817.7630382-370205.331549092i,5426.48482202869,0,0,4800
15,L2,-1242.3314164921,1.29027389209917e+15,1.29027389187723e+15,-23931709534.0179,2.70337354457076e+15,0.00605940924442288,21616.3657500802,-35944.3762055993+119.220442350754i,22.393384508686,0,0,4800
15,L3,-3394.11254969543,3.5276496317626e+15,3.52764963145308e+15,-46730978473.4909,2.01925506316038e+16,-0.065412489354766,21616.3657500801,11166804.641369+60451.6740040445i,5426.48482202869,0,0,4800
30,L1,4156.92193816531,4.3195421498414e+15,-4.31954214961615e+15,-44113388707.1846,3.02826069637788e+16,0.0708617168034994,21616.3657500801,14298067.1058038-297662.34482084i,5426.48482202869,0,0,4800
30,L2,0,68397.5805149395,1868.28013098558,-68372.0597148411,3.93611612998697,8.34489197432055e-16,21616.3657500802,138.906584041781+0.000823185312919345i,22.393384508686,0,0,4800
30,L3,-4156.92193816531,4.32053827795449e+15,4.3205382779452e+15,8957383302.43044,3.02897726442578e+16,0.0265148893362004,21616.3657500801,16751609.7096613+91167.9928871447i,5426.48482202869,0,0,4800
45,L1,3394.11254969543,3.52692569144867e+15,-3.52692569141015e+15,16485054740.4287,2.01887969288622e+16,0.0223697126665387,21616.3657500801,9532403.19213975-198751.467468742i,5426.48482202869,0,0,4800
